Animal_ID,Named,DateTime_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type,Sex_upon_Intake,Age_upon_Intake,Breed,Color,DateTime_Outcome,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,Length_of_Stay,Wild,Younger_than_1_Intake
A815540,N,2020-03-18 13:28:00,Austin (TX),Abandoned,Normal,Guinea Pig,Unknown,1.0,Other,Red/White,2020-03-20 11:55:00,Unknown,1.0,0.0,1,N,N
A815539,N,2020-03-18 13:28:00,Austin (TX),Abandoned,Normal,Guinea Pig,Unknown,1.0,Other,Red/White,2020-03-20 11:53:00,Unknown,1.0,0.0,1,N,N
A815536,Y,2020-03-18 12:13:00,Austin (TX),Public Assist,Normal,Dog,Intact Male,0.9166666666666666,Pit Bull,Brown,2020-03-24 11:49:00,Intact Male,0.9166666666666666,0.0,5,N,Y
A815533,Y,2020-03-18 09:40:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0.0,Domestic Shorthair,Brown Tabby,2020-03-18 13:37:00,Intact Female,0.0,0.0,0,N,Y
A815532,Y,2020-03-18 09:40:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0.0,Domestic Shorthair,Other,2020-03-18 13:37:00,Intact Female,0.0,0.0,0,N,Y
A815531,Y,2020-03-18 09:40:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0.0,Domestic Shorthair,Other,2020-03-18 13:36:00,Intact Male,0.0,0.0,0,N,Y
A815530,Y,2020-03-18 09:40:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0.0,Domestic Shorthair,Orange Tabby,2020-03-18 13:36:00,Intact Male,0.0,0.0,0,N,Y
A815529,Y,2020-03-18 09:40:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0.0,Domestic Shorthair,Orange Tabby,2020-03-18 13:36:00,Intact Male,0.0,0.0,0,N,Y
A815525,Y,2020-03-17 21:45:00,Austin (TX),Abandoned,Normal,Cat,Spayed Female,2.0,Domestic Shorthair,Black,2020-03-20 00:00:00,Spayed Female,2.0,0.0,2,N,N
A815514,Y,2020-03-19 14:48:00,Austin (TX),Public Assist,Normal,Cat,Intact Male,0.9166666666666666,Domestic Shorthair,Black,2020-03-20 13:24:00,Intact Male,0.9166666666666666,0.0,0,N,Y
A815510,N,2020-03-17 15:51:00,Austin (TX),Stray,Normal,Dog,Intact Male,0.16666666666666666,Other,Brown/White,2020-03-20 11:16:00,Intact Male,0.16666666666666666,0.0,2,N,Y
A815505,Y,2020-03-17 14:45:00,Austin (TX),Stray,Normal,Dog,Neutered Male,5.0,Labrador Retriever Mix,White/Tan,2020-03-17 16:28:00,Neutered Male,5.0,0.0,0,N,N
A815500,N,2020-03-17 12:04:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-17 12:49:00,Unknown,2.0,1.0,0,Y,N
A815499,N,2020-03-17 10:36:00,Austin (TX),Wildlife,Injured,Opossum,Intact Male,2.0,Other,White,2020-03-17 16:26:00,Intact Male,2.0,1.0,0,Y,N
A815492,N,2020-03-16 22:48:00,Austin (TX),Wildlife,Normal,Bat,Unknown,1.0,Other,Brown,2020-03-18 10:55:00,Unknown,1.0,1.0,1,Y,N
A815488,N,2020-03-16 18:34:00,Austin (TX),Abandoned,Normal,Cat,Intact Female,2.0,Domestic Shorthair,Other,2020-03-18 13:45:00,Intact Female,2.0,0.0,1,N,N
A815481,N,2020-03-16 16:48:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Black/Brown,2020-03-17 08:51:00,Unknown,2.0,1.0,0,Y,N
A815478,N,2020-03-16 16:16:00,Austin (TX),Wildlife,Sick,Raccoon,Unknown,1.0,Other,Black/Brown,2020-03-16 16:46:00,Unknown,1.0,1.0,0,Y,N
A815470,Y,2020-03-16 12:28:00,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Other,Brown,2020-03-17 19:13:00,Intact Male,2.0,0.0,1,N,N
A815469,Y,2020-03-16 12:28:00,Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Other,Black/Brown,2020-03-17 19:14:00,Intact Male,1.0,0.0,1,N,N
A815467,Y,2020-03-16 10:59:00,Austin (TX),Stray,Normal,Dog,Neutered Male,7.0,Other,Other,2020-03-16 12:24:00,Neutered Male,7.0,0.0,0,N,N
A815466,Y,2020-03-16 10:14:00,Austin (TX),Public Assist,Normal,Dog,Intact Female,2.0,Other,Other,2020-03-16 14:34:00,Intact Female,2.0,0.0,0,N,N
A815463,N,2020-03-16 08:22:00,Austin (TX),Stray,Nursing,Cat,Intact Female,0.019230769230769232,Domestic Shorthair,Calico,2020-03-18 13:45:00,Intact Female,0.038461538461538464,0.0,2,N,Y
A815462,N,2020-03-16 08:22:00,Austin (TX),Stray,Nursing,Cat,Intact Female,0.019230769230769232,Domestic Shorthair,Other,2020-03-18 13:44:00,Intact Female,0.038461538461538464,0.0,2,N,Y
A815461,N,2020-03-16 08:22:00,Austin (TX),Stray,Nursing,Cat,Intact Female,0.019230769230769232,Domestic Shorthair,Other,2020-03-18 13:44:00,Intact Female,0.038461538461538464,0.0,2,N,Y
A815460,N,2020-03-16 08:22:00,Austin (TX),Stray,Nursing,Cat,Intact Male,0.019230769230769232,Domestic Shorthair,Brown Tabby/White,2020-03-18 13:43:00,Intact Male,0.038461538461538464,0.0,2,N,Y
A815459,N,2020-03-16 08:22:00,Austin (TX),Stray,Nursing,Cat,Intact Female,0.019230769230769232,Domestic Shorthair,Calico,2020-03-18 13:43:00,Intact Female,0.038461538461538464,0.0,2,N,Y
A815458,N,2020-03-16 08:22:00,Austin (TX),Stray,Nursing,Cat,Intact Female,3.0,Domestic Shorthair,Calico,2020-03-18 13:43:00,Intact Female,3.0,0.0,2,N,N
A815457,Y,2020-03-16 08:01:00,Austin (TX),Stray,Injured,Cat,Intact Female,0.25,Domestic Shorthair,Other,2020-03-21 13:38:00,Spayed Female,0.3333333333333333,0.0,5,N,Y
A815441,N,2020-03-15 16:45:00,Austin (TX),Stray,Nursing,Cat,Intact Male,0.00821917808219178,Domestic Shorthair,Brown Tabby,2020-03-15 18:33:00,Intact Male,0.00821917808219178,0.0,0,N,Y
A815440,N,2020-03-15 16:45:00,Austin (TX),Stray,Nursing,Cat,Intact Male,0.00821917808219178,Domestic Shorthair,Brown Tabby,2020-03-15 18:33:00,Intact Male,0.00821917808219178,0.0,0,N,Y
A815439,N,2020-03-15 16:45:00,Austin (TX),Stray,Nursing,Cat,Intact Male,0.00821917808219178,Domestic Shorthair,Brown Tabby,2020-03-15 18:30:00,Intact Male,0.00821917808219178,0.0,0,N,Y
A815438,N,2020-03-15 16:45:00,Austin (TX),Stray,Nursing,Cat,Intact Female,0.00821917808219178,Domestic Shorthair,Brown Tabby,2020-03-15 18:28:00,Intact Female,0.00821917808219178,0.0,0,N,Y
A815435,Y,2020-03-15 16:10:00,Austin (TX),Stray,Normal,Dog,Intact Female,0.9166666666666666,Dachshund,Red/White,2020-03-25 07:25:00,Spayed Female,1.0,0.0,9,N,Y
A815429,Y,2020-03-15 16:02:00,Austin (TX),Stray,Normal,Dog,Neutered Male,6.0,Other,Brown/White,2020-03-24 14:05:00,Neutered Male,6.0,0.0,8,N,N
A815427,Y,2020-03-15 15:50:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2.0,Domestic Shorthair,Tortie,2020-03-18 13:36:00,Intact Female,2.0,0.0,2,N,N
A815424,N,2020-03-15 15:01:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,0.08333333333333333,Chihuahua Shorthair,Tricolor,2020-03-16 16:28:00,Intact Female,0.08333333333333333,0.0,1,N,Y
A815423,N,2020-03-15 15:01:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,0.08333333333333333,Chihuahua Shorthair,Tricolor,2020-03-16 18:12:00,Intact Male,0.08333333333333333,0.0,1,N,Y
A815419,N,2020-03-15 12:53:00,Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Other,Tan,2020-03-20 13:48:00,Intact Female,1.0,0.0,5,N,N
A815418,N,2020-03-15 12:53:00,Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Chihuahua Shorthair,White/Tan,2020-03-20 13:48:00,Intact Female,1.0,0.0,5,N,N
A815417,N,2020-03-15 12:45:00,Travis (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Chihuahua Shorthair,Black,2020-03-20 11:19:00,Intact Female,0.08333333333333333,0.0,4,N,Y
A815416,N,2020-03-15 12:45:00,Travis (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Chihuahua Shorthair,Black/Brown,2020-03-20 11:19:00,Intact Female,0.08333333333333333,0.0,4,N,Y
