Animal_ID,Named,DateTime_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type,Sex_upon_Intake,Age_upon_Intake,Breed,Color,DateTime_Outcome,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,Length_of_Stay,Wild,Younger_than_1_Intake
A758983,Y,2017-09-24 17:43:00,Austin (TX),Stray,Normal,Dog,Intact Male,0.3333333333333333,Boxer Mix,Other,2017-10-01 17:49:00,Neutered Male,0.3333333333333333,0.0,7,N,Y
A812726,Y,2020-01-27 15:47:00,Austin (TX),Stray,Normal,Dog,Intact Female,0.4166666666666667,Other,Black/White,2020-01-28 15:05:00,Intact Female,0.4166666666666667,0.0,0,N,Y
A677766,Y,2014-04-29 11:13:00,Travis (TX),Stray,Normal,Dog,Intact Male,1.0,Labrador Retriever Mix,Black/White,2014-05-07 17:24:00,Neutered Male,1.0,0.0,8,N,N
A705050,Y,2015-06-12 13:33:00,Austin (TX),Stray,Normal,Cat,Spayed Female,0.16666666666666666,Domestic Shorthair,Tortie,2015-07-02 00:00:00,Spayed Female,0.16666666666666666,0.0,19,N,Y
A795743,Y,2019-05-24 11:03:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair,Black/White,2019-08-17 11:24:00,Neutered Male,0.3333333333333333,0.0,85,N,Y
A747623,N,2017-04-22 12:41:00,Austin (TX),Stray,Normal,Dog,Intact Male,0.08333333333333333,Other,White/Tan,2017-05-17 16:32:00,Neutered Male,0.16666666666666666,0.0,25,N,Y
A724169,Y,2017-05-30 13:08:00,Austin (TX),Public Assist,Normal,Dog,Intact Female,3.0,Pit Bull Mix,Black/White,2019-12-09 14:18:00,Intact Female,5.0,0.0,130,N,N
A753682,Y,2017-07-09 16:19:00,Austin (TX),Stray,Normal,Dog,Neutered Male,4.0,German Shepherd Mix,Brown/White,2017-07-10 16:14:00,Neutered Male,4.0,0.0,0,N,N
A792254,N,2019-04-08 13:25:00,Austin (TX),Stray,Normal,Dog,Intact Female,0.010958904109589041,Yorkshire Terrier Mix,White/Chocolate,2019-04-11 13:00:00,Intact Female,0.019230769230769232,0.0,2,N,Y
A757644,Y,2017-09-04 15:57:00,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,0.5833333333333334,Labrador Retriever Mix,Black,2017-10-04 17:47:00,Intact Female,0.6666666666666666,0.0,30,N,Y
A776637,Y,2018-07-17 07:53:00,Austin (TX),Stray,Normal,Dog,Intact Male,0.3333333333333333,Labrador Retriever Mix,Other,2018-07-23 17:21:00,Neutered Male,0.3333333333333333,0.0,6,N,Y
